Season,Team,Goals,Opponent,Opponent Goals,Shots,Opponent Shots,Shots on Target,Opponent Shots on Target,Corners,Opponent Corners,Fouls Commited,Opponent Fouls Commited,Yellow Cards,Opponent Yellow Cards,Red Cards,Opponent Red Cards,position,played,won,drawn,lost,gf,ga,gd,points,Win Rate,Draw Rate,Loss Rate,Total Wins Last N,Total Losses Last N,Total Draws Last N,Recent Goals Scored,Recent Goals Conceded,Average Goals Scored,Average Goals Conceded
2014,17,2,28,1,21,12,7,4,3,4,5,15,0,2,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,14.0,6.0,2.8,1.2
2014,17,4,30,0,11,15,5,4,5,7,9,9,0,2,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,16.0,6.0,3.2,1.2
2014,17,3,19,2,10,13,4,5,7,7,7,9,1,3,1,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,17.0,6.0,3.4,1.2
2014,17,0,8,2,26,11,8,4,14,3,9,7,0,4,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,13.0,8.0,2.6,1.6
2014,17,2,32,1,19,8,7,4,5,5,12,15,2,2,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,11.0,6.0,2.2,1.2
2014,17,0,28,0,15,7,2,1,5,7,12,15,1,3,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,9.0,5.0,1.8,1.0
2014,17,1,2,0,5,17,1,3,2,8,8,9,3,3,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,6.0,5.0,1.2,1.0
2014,17,2,29,2,12,17,5,8,7,3,10,7,3,2,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,5.0,5.0,1.0,1.0
2014,17,3,28,1,15,23,6,5,8,10,10,8,1,2,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,8.0,4.0,1.6,0.8
2014,17,2,21,2,23,14,7,4,13,3,10,8,3,2,0,1,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,8.0,5.0,1.6,1.0
2014,17,3,10,3,11,18,5,12,7,6,15,16,3,4,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,11.0,8.0,2.2,1.6
2014,17,5,30,0,21,9,10,0,9,2,15,17,0,3,0,1,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,15.0,8.0,3.0,1.6
2014,17,1,19,2,12,20,5,6,6,7,9,10,3,1,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,14.0,8.0,2.8,1.6
2014,17,1,8,2,8,11,4,5,2,4,17,17,1,4,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,12.0,9.0,2.4,1.8
2014,17,1,32,1,12,12,3,4,4,3,15,13,2,4,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,11.0,8.0,2.2,1.6
2014,17,3,26,0,12,13,5,2,6,3,6,10,2,1,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,11.0,5.0,2.2,1.0
2014,17,3,20,0,17,13,7,1,4,3,12,13,4,1,0,1,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,9.0,5.0,1.8,1.0
2014,17,6,7,3,19,9,9,3,6,4,11,14,3,2,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,14.0,6.0,2.8,1.2
2014,17,2,33,1,17,11,8,1,4,4,9,10,0,4,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,15.0,5.0,3.0,1.0
